MJD,DM,DM_uncertainty,TOA_correction,TOA_uncertainty,DM_fit
58241.8474,62.397174,0.000877,0.13209665085951391,1.8566347700906087e-06,62.40783753435335
58259.7999,62.400091,0.005211,0.13210282623422814,1.1031840121940894e-05,62.407753529508355
58453.2417,62.423623,0.020563,0.13215264416970107,4.3532475230756205e-05,62.40644404925733
58510.117,62.401803,0.005585,0.13210645058853418,1.182360911169447e-05,62.405918276681895
58371.4677,62.393296,0.002289,0.13208844101956135,4.84588026081802e-06,62.40708789313898
58307.655,62.404104,0.010746,0.13211132187314759,2.274959776441697e-05,62.407498464934115
58467.2271,62.394395,0.002484,0.13209076763485478,5.258700990769752e-06,62.406320694611686
58276.7606,62.396511,0.000883,0.13209524726903207,1.869336946396816e-06,62.40766831086512
58413.431,62.539109,0.12715,0.1323971314251842,0.0002691802862223728,62.40677401439412
58524.1016,62.395499,0.001223,0.1320931048352951,2.5891269370818866e-06,62.4057792011177
58440.3333,62.396957,0.001146,0.1320961914641375,2.426115674485562e-06,62.406554472109235
58389.3664,62.397435,0.001227,0.13209720340418324,2.597595054619358e-06,62.406958272390376
58322.5884,62.396507,0.000938,0.13209523880091456,1.985773562537048e-06,62.40740960021656
58431.3744,62.379851,0.043842,0.13205997755948853,9.28148022694555e-05,62.406629172626566
59082.5097,62.396863,0.000194,0.1320959924633754,4.1070370056736386e-07,62.39706565948553
59000.8701,62.396016,0.000382,0.13209419933948682,8.087052248285206e-07,62.398724424803014
58837.2274,62.396161,0.000152,0.13209450630874756,3.2178846642391396e-07,62.401652483248995
58865.0939,62.395938,0.000116,0.13209403421119484,2.455754085866712e-07,62.40119127720999
59287.9381,62.390185,0.000171,0.13208185494114658,3.620120247269032e-07,62.39230866970173
59300.8879,62.390511,0.000165,0.13208254509272588,3.493098484206961e-07,62.39198083800581
59196.2777,62.396827,0.000215,0.13209591625031755,4.551613176390888e-07,62.394534301608026
59106.5965,62.396628,0.00013,0.13209549496147005,2.7521381996782114e-07,62.39655108158601
59093.5975,62.396372,0.000496,0.13209495300194765,1.050046574646456e-06,62.39683021051969
59208.3083,62.395748,0.000242,0.1320936319756118,5.123211110170209e-07,62.39425165508646
59100.5549,62.396649,0.000285,0.13209553941908714,6.033533745448387e-07,62.39668122911231
59113.4828,62.397491,0.000719,0.13209732195782878,1.5221441273604878e-06,62.396401857409664
59230.1225,62.390916,0.000148,0.13208340248962655,3.133203488864425e-07,62.39373185331541
59238.2602,62.390662,0.000165,0.13208286476416292,3.493098484206961e-07,62.39353553344995
58902.9692,62.395514,0.000134,0.13209313659073588,2.836819375052926e-07,62.400539801012116
59075.5131,62.39675,0.000507,0.13209575323905495,1.0733338978745024e-06,62.39721298097459
59166.3041,62.401957,0.023364,0.13210677661105935,4.946227453637056e-05,62.39522605226357
59252.019,62.390603,0.000126,0.13208273985942925,2.667457024303497e-07,62.393200627325896
59308.9355,62.390429,0.00014,0.13208237149631635,2.9638411381149965e-07,62.39177543762409
59272.0096,62.390987,0.000371,0.13208355279871284,7.854179016004742e-07,62.39270736093461
59062.542,62.397377,0.000343,0.13209708061647896,7.261410788381742e-07,62.39748354164975
59133.3371,62.396332,0.000138,0.1320948683207723,2.9215005504276396e-07,62.39596637107835
59008.7174,62.396607,0.000156,0.132095450503853,3.3025658396138535e-07,62.39857070758352
59280.9255,62.390134,0.000142,0.132081746972648,3.0061817258023545e-07,62.39248481364824
59037.7907,62.395965,0.000382,0.1320940913709882,8.087052248285206e-07,62.39799059089846
59032.8078,62.396605,0.000156,0.13209544626979422,3.3025658396138535e-07,62.39809120449484
58992.9035,62.396116,0.000212,0.13209441104242525,4.4881022948598525e-07,62.39887923332058
59156.4092,62.399508,0.021789,0.13210159200609703,4.612795325599119e-05,62.395450512901675
58844.1333,62.396909,0.000246,0.13209608984672708,5.207892285544924e-07,62.40153961795779
59022.7576,62.396778,0.000153,0.1320958125158777,3.2390549580828184e-07,62.39829264206342
58990.9472,62.399008,0.000496,0.13210053349140485,1.050046574646456e-06,62.398917056590435
58854.0836,62.395864,0.000174,0.13209387755102042,3.683631128800068e-07,62.40137533876329
59187.3085,62.397161,0.000217,0.13209662333813194,4.593953764078245e-07,62.39474316143563
59175.2746,62.421287,0.023163,0.1321476987890592,4.9036751630112624e-05,62.39502088792994
59044.7457,62.396999,0.000258,0.13209628037937166,5.461935811669065e-07,62.39784933618922
59264.0421,62.390698,0.000206,0.13208294097722076,4.361080531797781e-07,62.39290490546631
59217.178,62.396829,0.000262,0.13209592048437632,5.54661698704378e-07,62.39404143776772
59015.8319,62.396449,0.000152,0.13209511601321025,3.2178846642391396e-07,62.398430292405365
58882.1434,62.395482,0.000134,0.13209306884579558,2.836819375052926e-07,62.40090152697301
