MJD,DM,DM_uncertainty,TOA_correction,TOA_uncertainty,DM_fit
58322.7136,10.388829,0.001395,0.021993456262172917,2.9532559911931577e-06,10.384390136837478
58481.3357,10.392142,0.001987,0.022000469980523327,4.206537386738928e-06,10.38773572434693
58413.577,10.390215,0.000201,0.02199639046489965,4.2552290625793886e-07,10.386421323438006
58260.0275,10.390636,0.001671,0.02199728173427047,3.5375561012786854e-06,10.382809457675904
58538.1623,10.390914,0.001591,0.021997870268439326,3.3681937505292573e-06,10.388706125554913
58174.1415,10.390603,0.000775,0.021997211872300786,1.6406977728850876e-06,10.380405978922301
58495.2312,10.393966,0.002721,0.02200433144212042,5.760436954864933e-06,10.387984128372135
58453.3844,10.383551,0.043321,0.021982282581082226,9.171182996019984e-05,10.38721425306297
58371.632,10.391476,0.002557,0.02199906003895334,5.413244135828605e-06,10.385521911012878
58467.3679,10.390949,0.007573,0.02199794436446778,1.6032263527817764e-05,10.387478775051239
58524.2412,10.392107,0.001387,0.022000395884494876,2.9363197561182147e-06,10.38847953238218
58307.7956,10.303411,0.039512,0.021812623846218987,8.364806503514269e-05,10.384027247625875
58241.9688,10.38965,0.001693,0.021995194343297483,3.5841307477347786e-06,10.382326919881619
58440.4644,10.389275,0.001251,0.021994400457278344,2.6484037598441866e-06,10.38696337138013
58355.6357,10.391069,0.001515,0.021998198407993903,3.2072995173173003e-06,10.385161635376884
58389.5234,10.392509,0.001893,0.022001246930307392,4.007536624608349e-06,10.385913570146057
58340.6794,10.392379,0.001713,0.022000971716487423,3.626471335422135e-06,10.384816155949297
58276.8909,10.391551,0.001063,0.021999218816157167,2.2504022355830295e-06,10.383249081797215
58992.8571,10.391247,2e-05,0.02199857523922432,4.2340587687357105e-08,10.392136339749268
59000.9498,10.390263,0.000661,0.0219964920823101,1.3993564230671522e-06,10.392127596738595
59008.8028,10.391254,3.8e-05,0.02199859005843001,8.044711660597849e-08,10.392116779102897
59015.9197,10.391226,2.8e-05,0.021998530781607246,5.927682276229994e-08,10.3921049900272
59022.851,10.391306,2.6e-05,0.021998700143957998,5.5042763993564227e-08,10.392091693799282
59032.76,10.391337,5.4e-05,0.021998765771868913,1.1431958675586416e-07,10.392069575743493
59037.8336,10.3913,4.4e-05,0.02199868744178169,9.314929291218562e-08,10.3920568342673
59044.8766,10.391337,2.3e-05,0.021998765771868913,4.869167584046066e-08,10.392037556665535
59062.7358,10.391332,2.3e-05,0.02199875518672199,4.869167584046066e-08,10.391980385826027
59075.6433,10.391413,1.8e-05,0.021998926666102123,3.810652891862139e-08,10.391931665744726
59082.652,10.391413,1.8e-05,0.021998926666102123,3.810652891862139e-08,10.39190260972457
59093.7266,10.391413,2.7e-05,0.021998926666102123,5.715979337793208e-08,10.391852965596083
59100.6879,10.391356,3.3e-05,0.021998805995427216,6.986196968413922e-08,10.391819420395844
59106.6848,10.391397,2.3e-05,0.021998892793631975,4.869167584046066e-08,10.391789074299476
59113.5661,10.391421,0.000103,0.021998943602337197,2.1805402658988906e-07,10.391752601407259
59133.4267,10.391423,2.6e-05,0.021998947836395968,5.5042763993564227e-08,10.391637436860073
59156.4965,10.391436,3.3e-05,0.021998975357777967,6.986196968413922e-08,10.39148520662706
59166.3949,10.391459,3.8e-05,0.021999024049453805,8.044711660597849e-08,10.391413808830679
59175.3619,10.391517,2.7e-05,0.0219991468371581,5.715979337793208e-08,10.391345976761702
59187.3969,10.391443,3.7e-05,0.021998990176983656,7.833008722161063e-08,10.39125022606506
59196.3639,10.391567,2.8e-05,0.02199925268862732,5.927682276229994e-08,10.391175374877399
59208.3947,10.391572,2.6e-05,0.02199926327377424,5.5042763993564227e-08,10.39107024116141
59217.2644,10.391598,3.9e-05,0.021999318316538233,8.256414599034634e-08,10.390989276692828
59230.212,10.390833,2.8e-05,0.021997698789059193,5.927682276229994e-08,10.390865824071605
59238.3064,10.390858,2.5e-05,0.0219977517147938,5.2925734609196374e-08,10.390785471613956
59252.1106,10.390671,2.4e-05,0.021997355830298923,5.080870522482852e-08,10.390642805008062
59264.1392,10.390983,3.7e-05,0.021998016343466847,7.833008722161063e-08,10.390512698550216
59272.1025,10.390847,4.8e-05,0.021997728427470574,1.0161741044965704e-07,10.390423597282766
59281.0668,10.390862,3.7e-05,0.021997760182911337,7.833008722161063e-08,10.390320467987324
59288.0271,10.390878,5e-05,0.02199779405538149,1.0585146921839275e-07,10.390238328023093
59301.0236,10.390721,4.2e-05,0.02199746168176814,8.89152341434499e-08,10.390080120089094
59309.1717,10.390675,0.0001,0.02199736429841646,2.117029384367855e-07,10.389977721596235
