MJD,DM,DM_uncertainty,TOA_correction,TOA_uncertainty,DM_fit
58538.1853,71.01851,0.000213,0.15034827250402236,4.509272588703531e-07,71.01955710346412
58524.2683,71.018368,0.000259,0.15034797188584975,5.483106105512744e-07,71.01951801989327
58355.6575,71.017969,0.000224,0.1503471271911254,4.742145820983995e-07,71.0186836338394
58241.9939,71.019055,0.000252,0.1503494262850368,5.334914048606994e-07,71.01774494917385
58453.4162,71.017915,0.000299,0.15034701287153865,6.329917859259887e-07,71.01924861847917
58371.6663,71.017841,0.000399,0.1503468562113642,8.446947243627741e-07,71.01879150035222
58260.0628,71.018531,0.000232,0.15034831696163942,4.911508171733424e-07,71.01791442383099
58495.2549,71.018771,0.0004,0.15034882504869168,8.46811753747142e-07,71.01942193562704
58440.5053,71.018331,0.000241,0.15034789355576256,5.10204081632653e-07,71.01918684649546
58276.9142,71.017868,0.0002,0.1503469133711576,4.23405876873571e-07,71.01806557908702
58322.7361,71.018807,0.000296,0.1503489012617495,6.26640697772885e-07,71.01844292276576
58340.712,71.018647,0.000233,0.150348562537048,4.932678465577103e-07,71.01857750717733
58389.545,71.017815,0.000304,0.15034680116860022,6.435769328478279e-07,71.01890486199936
58467.3948,71.018869,0.000223,0.15034903251757134,4.7209755271403163e-07,71.01931109144296
58307.8187,71.018644,0.000293,0.15034855618595985,6.202896096197815e-07,71.01832548357133
58481.3655,71.018256,0.000237,0.1503477347785587,5.017359640951816e-07,71.01936895056659
58413.5987,71.025063,0.010155,0.1503621453975781,2.149843339825557e-05,71.01904554999314
59281.0181,71.012914,7.8e-05,0.15033642560758742,1.6512829198069267e-07,71.01505177949048
59015.9628,71.018019,8.8e-05,0.15034723304259462,1.8629858582437124e-07,71.0181442630455
59001.0326,71.017498,0.0001,0.15034613007028538,2.117029384367855e-07,71.01826944231713
59032.8501,71.017826,8e-05,0.15034682445592346,1.6936235074942842e-07,71.01799637452689
59175.4128,71.028052,0.003376,0.150368473198408,7.147091201625879e-06,71.01648135537928
59308.9905,71.012634,9.2e-05,0.1503358328393598,1.9476670336184265e-07,71.01462930512298
58903.1047,71.018045,7.8e-05,0.15034728808535863,1.6512829198069267e-07,71.01896090769262
59037.923,71.017895,6.8e-05,0.15034697053095095,1.4395799813701413e-07,71.01795064294848
59082.6073,71.01784,6.7e-05,0.15034685409433485,1.418409687526463e-07,71.0175217489719
59075.5999,71.017657,8.4e-05,0.15034646667795748,1.778304682868998e-07,71.0175921039777
59022.7099,71.01784,0.000105,0.15034685409433485,2.2228808535862478e-07,71.0180859783546
59196.4074,71.018295,7e-05,0.1503478173427047,1.4819205690574983e-07,71.01621798117203
59133.4682,71.018117,6.9e-05,0.1503474405114743,1.4607502752138198e-07,71.01697658902451
59238.3696,71.013057,8.3e-05,0.1503367283427894,1.7571343890253196e-07,71.01566059455124
59100.5113,71.017287,0.000245,0.15034568337708526,5.186721991701244e-07,71.0173367611932
59106.7259,71.017898,7.6e-05,0.15034697688203913,1.6089423321195698e-07,71.0172707931495
59252.1653,71.013082,7.7e-05,0.15033678126852398,1.6301126259632483e-07,71.01546832577085
59217.312,71.018373,6.6e-05,0.15034798247099668,1.3972393936827844e-07,71.01594546565995
59044.9199,71.017713,7.2e-05,0.15034658523160302,1.5242611567448557e-07,71.01788657649747
58865.2266,71.018295,7.1e-05,0.1503478173427047,1.5030908629011773e-07,71.01916804593799
59208.4835,71.018297,6.6e-05,0.1503478215767635,1.3972393936827844e-07,71.01606180543256
58882.2748,71.018295,7.9e-05,0.1503478173427047,1.6724532136506055e-07,71.01907898094731
59008.8484,71.017826,7.5e-05,0.15034682445592346,1.587772038275891e-07,71.01820456430954
58833.1836,71.018321,8.3e-05,0.1503478723854687,1.7571343890253196e-07,71.0193170035249
58992.948,71.017829,7.3e-05,0.1503468308070116,1.5454314505885342e-07,71.01833504428636
59300.9775,71.012653,9.2e-05,0.1503358730629181,1.9476670336184265e-07,71.01475220286706
59187.4412,71.018266,6.9e-05,0.15034775594885255,1.4607502752138198e-07,71.01633172544976
59113.5256,71.017901,7e-05,0.15034698323312726,1.4819205690574983e-07,71.01719757662045
59230.2612,71.013152,7.9e-05,0.15033692946058091,1.6724532136506055e-07,71.01577151764917
59288.0744,71.012974,7e-05,0.1503365526293505,1.4819205690574983e-07,71.01494693696614
59062.6484,71.017714,8.4e-05,0.15034658734863238,1.778304682868998e-07,71.01771910729349
59272.1514,71.01296,8.5e-05,0.15033652299093914,1.7994749767126767e-07,71.01518186546183
59166.4442,71.016899,0.000586,0.15034486196968413,1.240579219239563e-06,71.01659071415078
59093.7729,71.017905,7.3e-05,0.1503469917012448,1.5454314505885342e-07,71.01740726593448
59156.5396,71.018617,0.002454,0.15034849902616648,5.195190109238716e-06,71.01670929415847
58844.2277,71.018392,7.8e-05,0.150348022694555,1.6512829198069267e-07,71.01926838240516
