MJD,DM,DM_uncertainty,TOA_correction,TOA_uncertainty,DM_fit
58276.7916,15.990692,0.000965,0.033852764840375985,2.04293335591498e-06,15.995715515060063
58389.3957,15.991769,0.001164,0.03385504488102295,2.4642222034041836e-06,15.996121837791364
58431.4078,16.07733,0.095916,0.03403618003217884,0.0002030569904310272,15.996189385839536
58431.4036,16.01307,0.03071,0.03390013972393936,6.501397239393682e-05,15.996189381369563
58453.2711,15.996669,0.016022,0.03386541832500635,3.391904479634178e-05,15.996206468363063
58440.3632,15.99122,0.000862,0.03385388263189093,1.824879329325091e-06,15.996197878692346
58481.2232,15.9905,0.0021,0.033852358370734185,4.445761707172495e-06,15.996210291278475
58259.9211,15.99152,0.000881,0.03385451774070624,1.8651028876280802e-06,15.995626376334576
58241.8772,15.990395,0.002338,0.03385213608264882,4.949614700652045e-06,15.995522886180263
58322.6198,15.989747,0.001038,0.03385076424760775,2.197476500973834e-06,15.995920478883646
58413.4636,15.999959,0.031718,0.03387238335168092,6.714793801337963e-05,15.996166122859986
58371.5009,15.988373,0.003598,0.03384785544923363,7.617071724955542e-06,15.99607919510542
58307.6861,15.963278,0.014455,0.033794728596832926,3.0601659751037345e-05,15.995859658526728
58833.1389,15.990052,0.000199,0.03385140994156999,4.2128884748920317e-07,15.994528703631786
58844.0839,15.990288,0.000133,0.0338519095605047,2.815649081209247e-07,15.994425016458399
58854.0397,15.990391,0.000105,0.03385212761453129,2.2228808535862478e-07,15.994328008022798
58865.1367,15.990368,0.000117,0.033852078922855446,2.47692437971039e-07,15.994216856964131
58882.0997,15.990327,0.000111,0.03385199212465069,2.349902616648319e-07,15.994040791418433
58903.0126,15.990486,0.000143,0.03385232873232281,3.0273520196460327e-07,15.993813479333323
58991.0402,15.985741,0.001564,0.03384228342789398,3.3110339571513254e-06,15.992732583170067
59001.0104,15.987837,0.001741,0.03384672072148361,3.685748158184435e-06,15.992597516238227
59008.7594,15.990421,0.000174,0.033852191125412816,3.683631128800068e-07,15.992490763426137
59022.6632,15.990251,0.000146,0.033851831230417476,3.0908629011770683e-07,15.992295324636357
59032.8907,15.99023,0.000113,0.03385178677280041,2.392243204335676e-07,15.992148368356347
59075.5553,15.990652,0.000209,0.03385268015920061,4.4245914133288174e-07,15.991506133203742
59082.5542,15.990741,0.000195,0.033852868574815814,4.1282072995173174e-07,15.991396280452301
59156.4554,15.990459,0.000198,0.03385227157252942,4.1917181810483525e-07,15.990158990245542
59175.3186,15.990355,0.00013,0.03385205140147345,2.7521381996782114e-07,15.989820532006114
59187.3527,15.990382,0.000319,0.03385210856126683,6.753323736133457e-07,15.989599795769744
59196.3201,15.99021,0.000175,0.03385174443221272,3.704801422643746e-07,15.989432873864624
59208.3522,15.989938,0.000245,0.03385116860022017,5.186721991701244e-07,15.989205635405188
59217.2207,15.99031,0.000174,0.03385195613515115,3.683631128800068e-07,15.989035746399914
59230.1689,15.988721,0.000138,0.033848592175459394,2.9215005504276396e-07,15.98878404968411
59238.2065,15.988966,0.000171,0.03384911084765856,3.620120247269032e-07,15.988625626344236
59252.063,15.989164,0.00012,0.03384953001947667,2.5404352612414263e-07,15.988348585452735
59264.0909,15.988683,0.000171,0.03384851172834279,3.620120247269032e-07,15.988104076406495
59272.0545,15.989023,0.000159,0.033849231518333474,3.366076721144889e-07,15.987940128481636
59287.9824,15.989079,0.00014,0.033849350071979,2.9638411381149965e-07,15.987607294356167
59300.9322,15.98892,0.000122,0.03384901346430688,2.582775848928783e-07,15.98733185277942
59309.0405,15.98894,0.000109,0.03384905580489457,2.3075620289609622e-07,15.987157180365212
59370.7384,15.989993,0.000357,0.033851285036836314,7.557794902193242e-07,15.98577233084219
